year,month,date,"Elkhart County, Ind.",Indiana,U.S.
2009,Apr,Apr 2009,19.1,10.1,8.6
2009,May,May 2009,18.7,10.6,9.1
2009,Jun,Jun 2009,18.2,11.0,9.7
2009,Jul,Jul 2009,17.7,10.6,9.7
2009,Aug,Aug 2009,17.6,10.3,9.6
2009,Sep,Sep 2009,16.7,9.9,9.5
2009,Oct,Oct 2009,16.3,10.0,9.5
2009,Nov,Nov 2009,16.0,10.0,9.4
2009,Dec,Dec 2009,16.2,10.4,9.7
2010,Jan,Jan 2010,16.3,11.4,10.6
2010,Feb,Feb 2010,16.1,11.4,10.4
2010,Mar,Mar 2010,15.4,11.2,10.2
2010,Apr,Apr 2010,13.9,10.2,9.5
2010,May,May 2010,13.1,9.9,9.3
2010,Jun,Jun 2010,12.7,10.0,9.6
2010,Jul,Jul 2010,12.7,9.9,9.7
2010,Aug,Aug 2010,12.4,9.7,9.5
2010,Sep,Sep 2010,12.0,9.2,9.2
2010,Oct,Oct 2010,12.1,9.1,9.0
2010,Nov,Nov 2010,12.5,9.3,9.3
2010,Dec,Dec 2010,12.1,9.0,9.1
2011,Jan,Jan 2011,12.4,9.7,9.8
2011,Feb,Feb 2011,11.8,9.5,9.5
2011,Mar,Mar 2011,11.3,9.1,9.2
2011,Apr,Apr 2011,10.3,8.4,8.7
2011,May,May 2011,10.3,8.5,8.7
2011,Jun,Jun 2011,10.6,9.0,9.3
2011,Jul,Jul 2011,11.0,9.0,9.3
2011,Aug,Aug 2011,10.8,9.0,9.1
2011,Sep,Sep 2011,11.1,8.6,8.8
2011,Oct,Oct 2011,10.9,8.5,8.5
2011,Nov,Nov 2011,10.7,8.4,8.2
2011,Dec,Dec 2011,10.6,8.4,8.3
2012,Jan,Jan 2012,10.9,8.9,8.8
2012,Feb,Feb 2012,10.4,8.8,8.7
2012,Mar,Mar 2012,9.9,8.5,8.4
2012,Apr,Apr 2012,8.9,7.7,7.7
2012,May,May 2012,8.8,7.8,7.9
2012,Jun,Jun 2012,9.0,8.3,8.4
2012,Jul,Jul 2012,9.3,8.3,8.6
2012,Aug,Aug 2012,9.0,8.1,8.2
2012,Sep,Sep 2012,8.5,7.5,7.6
2012,Oct,Oct 2012,8.5,7.6,7.5
2012,Nov,Nov 2012,8.7,7.7,7.4
2012,Dec,Dec 2012,8.9,8.1,7.6
2013,Jan,Jan 2013,9.5,9.0,8.5
2013,Feb,Feb 2013,8.8,8.6,8.1
2013,Mar,Mar 2013,8.3,8.2,7.6
2013,Apr,Apr 2013,7.4,7.4,7.1
2013,May,May 2013,7.4,7.6,7.3
2013,Jun,Jun 2013,7.7,7.9,7.8
2013,Jul,Jul 2013,7.5,7.5,7.7
2013,Aug,Aug 2013,7.2,7.2,7.3
2013,Sep,Sep 2013,6.9,6.9,7.0
2013,Oct,Oct 2013,6.9,6.9,7.0
2013,Nov,Nov 2013,6.8,6.7,6.6
2013,Dec,Dec 2013,6.4,6.3,6.5
2014,Jan,Jan 2014,6.2,6.5,7.0
2014,Feb,Feb 2014,6.2,6.9,7.0
2014,Mar,Mar 2014,5.8,6.2,6.8
2014,Apr,Apr 2014,5.0,5.5,5.9
2014,May,May 2014,5.2,5.8,6.1
2014,Jun,Jun 2014,5.6,6.1,6.3
2014,Jul,Jul 2014,5.2,5.8,6.5
2014,Aug,Aug 2014,5.0,5.5,6.3
2014,Sep,Sep 2014,4.6,5.1,5.7
2014,Oct,Oct 2014,4.8,5.3,5.5
2014,Nov,Nov 2014,5.3,5.8,5.5
2014,Dec,Dec 2014,,,5.4
