STATEFP,SCSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,ELSDLEA,UNSDLEA,NPR_AllDistricts_3.24.16_NCES_ID_ORIG,NPR_AllDistricts_3.24.16_District Name,NPR_AllDistricts_3.24.16_State Name,NPR_AllDistricts_3.24.16_City Name,NPR_AllDistricts_3.24.16_ENROLLMENT (Number of students enrolled in district):2013,NPR_AllDistricts_3.24.16_Raw per-pupil expenditures for district:2013,"NPR_AllDistricts_3.24.16_Per-pupil expenditures for district, adjusted by regional cost differences:2013",NPR_AllDistricts_3.24.16_color_bin_orig,NPR_AllDistricts_3.24.16_color_bin
46,,4644940,Tri-Valley School District 49-6,00,PK,12,G5420,,E,380061900,2081746,+43.7249735,-096.9006036,,44940,4644940,TRI VALLEY SCHOOL DISTRICT 49-6,SD,COLTON,836,8185.40669856459,7705.74778536071,,bin2
46,,4645450,Marion School District 60-3,00,PK,12,G5420,,E,285684544,25628,+43.4382929,-097.2704535,,45450,4645450,MARION SCHOOL DISTRICT 60-3,SD,MARION,221,9542.98642533937,8983.77432188941,,bin2
46,,4646260,McIntosh School District 15-1,00,PK,12,G5420,,E,2372771028,8615070,+45.7558757,-101.4270719,,46260,4646260,MCINTOSH SCHOOL DISTRICT 15-1,SD,MCINTOSH,184,16173.9130434783,16768.1087910612,,bin5
46,,4646380,McLaughlin School District 15-2,00,PK,12,G5420,,E,2003014369,55359876,+45.7571813,-100.7898834,,46380,4646380,MCLAUGHLIN SCHOOL DISTRICT 15-2,SD,MCLAUGHLIN,458,12661.5720524017,13126.7317358393,,bin4
46,,4647100,Menno School District 33-2,00,PK,12,G5420,,E,464655289,437869,+43.2193677,-097.5484436,,47100,4647100,MENNO SCHOOL DISTRICT 33-2,SD,MENNO,291,9972.50859106529,10136.9650100061,,bin2
46,,4647942,Miller Area School District 29-4,00,PK,12,G5420,,E,3099623350,8605912,+44.4945848,-099.0126736,,47942,4647942,MILLER AREA SCHOOL DISTRICT 29-4,SD,MILLER,437,9663.61556064073,10066.0385783256,,bin2
46,,4648390,Mitchell School District 17-2,00,PK,12,G5420,,E,685360624,3839927,+43.7231956,-098.0198748,,48390,4648390,MITCHELL SCHOOL DISTRICT 17-2,SD,MITCHELL,2599,8031.93535975375,8164.38982839291,,bin2
46,,4648780,Montrose School District 43-2,00,PK,12,G5420,,E,320559818,1298375,+43.7370580,-097.1886279,,48780,4648780,MONTROSE SCHOOL DISTRICT 43-2,SD,MONTROSE,229,9406.1135371179,8854.92208593717,,bin2
46,,4649650,Mount Vernon School District 17-3,00,KG,12,G5420,,E,434507440,122332,+43.6914235,-098.2454056,,49650,4649650,MT VERNON SCHOOL DISTRICT 17-3,SD,MOUNT VERNON,249,9333.33333333333,9487.24912721451,,bin2
46,,4650670,New Underwood School District 51-3,00,PK,12,G5420,,E,919919090,456854,+44.0101002,-102.7236280,,50670,4650670,NEW UNDERWOOD SCHOOL DISTRICT 51-3,SD,NEW UNDERWOOD,272,8301.47058823529,8381.81394741058,,bin2
